name,url,dob,collage,from_year,to_year,pos,height,weight,nba_debut,career_length,g,pts,trb,ast
Elton Brand,https://www.basketball-reference.com/players/b/brandel01.html,"March 11, 1979",Duke,2000,2016,F-C,6-9,275,"November 3, 1999",17 years,1058,15.9,8.5,2.1
Terrell Brandon,https://www.basketball-reference.com/players/b/brandte01.html,"May 20, 1970",Oregon,1992,2002,G,5-11,180,"November 1, 1991",11 years,724,13.8,3.0,6.1
Malaki Branham,https://www.basketball-reference.com/players/b/branhma01.html,"May 12, 2003",Ohio State,2023,2023,G,6-5,180,"October 30, 2022",1 year,66,10.2,2.7,1.9
Bob Brannum,https://www.basketball-reference.com/players/b/brannbo01.html,"May 28, 1926",Kentucky,1950,1955,F-C,6-5,215,"November 1, 1949",5 years,338,7.3,7.0,2.1
Brad Branson,https://www.basketball-reference.com/players/b/bransbr01.html,"September 24, 1958",SMU,1982,1983,C-F,6-10,220,"March 31, 1982",2 years,72,5.4,2.9,0.7
Jesse Branson,https://www.basketball-reference.com/players/b/bransje01.html,"January 7, 1942",Elon University,1966,1968,F,6-7,195,"October 16, 1965",2 years,83,13.1,6.6,0.8
Jarrell Brantley,https://www.basketball-reference.com/players/b/brantja01.html,"June 7, 1996",College of Charleston,2020,2023,F,6-5,250,"October 25, 2019",3 years,41,2.7,1.3,0.7
Jim Brasco,https://www.basketball-reference.com/players/b/brascji01.html,"February 3, 1931",NYU,1953,1953,G,6-1,170,"November 1, 1952",1 year,20,3.9,1.2,1.1
Mike Bratz,https://www.basketball-reference.com/players/b/bratzmi01.html,"October 17, 1955",Stanford,1978,1986,G,6-2,185,"October 18, 1977",9 years,586,7.0,1.8,3.2
Carl Braun,https://www.basketball-reference.com/players/b/braunca01.html,"September 25, 1927",Colgate,1948,1962,G-F,6-5,180,"November 13, 1947",13 years,788,13.5,3.4,3.7
Christian Braun,https://www.basketball-reference.com/players/b/braunch01.html,"April 17, 2001",Kansas,2023,2023,G,6-7,218,"October 19, 2022",1 year,76,4.7,2.4,0.8
Ignas Brazdeikis,https://www.basketball-reference.com/players/b/brazdig01.html,"January 8, 1999",Michigan,2020,2022,F,6-6,221,"November 3, 2019",3 years,64,5.0,1.9,0.9
Tim Breaux,https://www.basketball-reference.com/players/b/breauti01.html,"September 19, 1970",Wyoming,1995,1998,F,6-7,215,"November 5, 1994",3 years,102,2.9,0.9,0.4
J.R. Bremer,https://www.basketball-reference.com/players/b/bremejr01.html,"September 19, 1980",St. Bonaventure,2003,2004,G,6-2,185,"October 31, 2002",2 years,100,6.5,1.8,2.2
Pete Brennan,https://www.basketball-reference.com/players/b/brennpe01.html,"September 23, 1936",UNC,1959,1959,F,6-6,205,"October 26, 1958",1 year,16,2.5,1.9,0.4
Tom Brennan,https://www.basketball-reference.com/players/b/brennto01.html,"August 6, 1930",Villanova,1955,1955,F,6-3,195,"November 20, 1954",1 year,11,0.9,0.5,0.2
Randy Breuer,https://www.basketball-reference.com/players/b/breuera01.html,"October 11, 1960",Minnesota,1984,1994,C,7-3,230,"October 28, 1983",11 years,681,6.8,4.4,0.9
Corey Brewer,https://www.basketball-reference.com/players/b/breweco01.html,"March 5, 1986",Florida,2008,2020,F-G,6-9,186,"November 2, 2007",13 years,819,8.7,2.8,1.5
Jamison Brewer,https://www.basketball-reference.com/players/b/breweja01.html,"November 19, 1980",Auburn,2002,2005,G,6-4,184,"November 20, 2001",4 years,54,1.6,0.9,1.0
Jim Brewer,https://www.basketball-reference.com/players/b/breweji01.html,"December 3, 1951",Minnesota,1974,1982,F-C,6-9,210,"October 12, 1973",9 years,703,5.8,6.3,1.5
Ron Brewer,https://www.basketball-reference.com/players/b/brewero01.html,"July 16, 1955",Arkansas,1979,1986,G,6-4,180,"October 15, 1978",8 years,501,11.9,1.9,1.8
Ronnie Brewer,https://www.basketball-reference.com/players/b/brewero02.html,"March 20, 1985",Arkansas,2007,2014,G-F,6-7,220,"November 1, 2006",8 years,502,7.8,2.8,1.6
Primož Brezec,https://www.basketball-reference.com/players/b/brezepr01.html,"October 2, 1979",None,2002,2010,C,7-2,252,"November 4, 2001",8 years,342,7.2,3.9,0.5
Frankie Brian,https://www.basketball-reference.com/players/b/brianfr01.html,"May 1, 1923",LSU,1950,1956,G,6-1,180,"November 3, 1949",7 years,438,12.3,2.4,2.6
Frank Brickowski,https://www.basketball-reference.com/players/b/brickfr01.html,"August 14, 1959",Penn State,1985,1997,F-C,6-9,240,"October 26, 1984",12 years,731,10.0,4.7,1.9
Junior Bridgeman,https://www.basketball-reference.com/players/b/bridgju01.html,"September 17, 1953",Louisville,1976,1987,F-G,6-5,210,"October 25, 1975",12 years,849,13.6,3.5,2.4
Bill Bridges,https://www.basketball-reference.com/players/b/bridgbi01.html,"April 4, 1939",Kansas,1963,1975,F-C,6-6,228,"January 8, 1963",13 years,926,11.9,11.9,2.8
Mikal Bridges,https://www.basketball-reference.com/players/b/bridgmi01.html,"August 30, 1996",Villanova,2019,2023,F-G,6-6,209,"October 17, 2018",5 years,392,13.1,4.0,2.3
Miles Bridges,https://www.basketball-reference.com/players/b/bridgmi02.html,"March 21, 1998",Michigan State,2019,2022,G-F,6-6,225,"October 17, 2018",4 years,291,13.4,5.6,2.3
Al Brightman,https://www.basketball-reference.com/players/b/brighal01.html,"September 22, 1923",University of Charleston,1947,1947,F,6-2,195,,1 year,58,9.8,-,1.0
Amida Brimah,https://www.basketball-reference.com/players/b/brimaam01.html,"February 11, 1994",UConn,2021,2021,C,6-10,230,"April 25, 2021",1 year,5,2.6,1.6,0.2
Aud Brindley,https://www.basketball-reference.com/players/b/brindau01.html,"December 31, 1923",Dartmouth College,1947,1947,F,6-4,175,"February 19, 1947",1 year,12,2.8,-,0.1
Isaiah Briscoe,https://www.basketball-reference.com/players/b/briscis01.html,"April 13, 1996",Kentucky,2019,2019,G,6-3,215,"October 19, 2018",1 year,39,3.5,1.9,2.2
John Brisker,https://www.basketball-reference.com/players/b/briskjo01.html,"June 15, 1947",Toledo,1970,1975,F-G,6-5,210,"October 10, 1972",6 years,331,20.7,6.5,2.4
Oshae Brissett,https://www.basketball-reference.com/players/b/brissos01.html,"June 20, 1998",Syracuse,2020,2023,F,6-7,210,"November 18, 2019",4 years,172,7.4,4.2,0.8
Allan Bristow,https://www.basketball-reference.com/players/b/bristal01.html,"August 23, 1951",Virginia Tech,1974,1983,F-G,6-7,210,"October 13, 1973",10 years,695,7.8,4.0,3.2
Tyrone Britt,https://www.basketball-reference.com/players/b/brittty01.html,"April 18, 1944",Johnson C. Smith University,1968,1968,G,6-4,190,"February 25, 1968",1 year,11,2.5,1.4,1.1
Wayman Britt,https://www.basketball-reference.com/players/b/brittwa01.html,"August 31, 1952",Michigan,1978,1978,G,6-2,185,"October 18, 1977",1 year,7,1.3,0.6,0.3
Mike Brittain,https://www.basketball-reference.com/players/b/brittmi01.html,"June 21, 1963",South Carolina,1986,1987,C,7-0,235,"October 29, 1985",2 years,38,1.7,1.4,0.2
Dave Britton,https://www.basketball-reference.com/players/b/brittda01.html,"August 29, 1958",Texas A&M,1981,1981,G,6-4,180,"December 23, 1980",1 year,2,2.0,1.0,1.5
Jon Brockman,https://www.basketball-reference.com/players/b/brockjo01.html,"March 20, 1987",Washington,2010,2012,F,6-7,255,"October 28, 2009",3 years,150,2.1,3.1,0.3
Ryan Broekhoff,https://www.basketball-reference.com/players/b/broekry01.html,"August 23, 1990",Valparaiso,2019,2020,F,6-6,215,"October 17, 2018",2 years,59,4.0,1.8,0.6
Jim Brogan,https://www.basketball-reference.com/players/b/brogaji01.html,"February 24, 1958",West Virginia Wesleyan College,1982,1983,G,6-4,185,"November 6, 1981",2 years,121,5.1,1.5,1.8
Malcolm Brogdon,https://www.basketball-reference.com/players/b/brogdma01.html,"December 11, 1992",Virginia,2017,2023,G,6-5,229,"October 26, 2016",7 years,400,15.4,4.2,4.6
Gary Brokaw,https://www.basketball-reference.com/players/b/brokaga01.html,"January 11, 1954",Notre Dame,1975,1978,G,6-4,178,"October 18, 1974",4 years,241,8.0,1.7,3.0
Price Brookfield,https://www.basketball-reference.com/players/b/brookpr01.html,"May 11, 1920",West Texas A&M University,1949,1950,F-G,6-4,185,"November 1, 1948",2 years,61,7.8,-,2.2
Clarence Brookins,https://www.basketball-reference.com/players/b/brookcl01.html,Temple,None,1971,1971,F,6-4,190,,1 year,8,2.6,1.5,0.1
Aaron Brooks,https://www.basketball-reference.com/players/b/brookaa01.html,"January 14, 1985",Oregon,2008,2018,G,6-0,161,"November 17, 2007",10 years,645,9.7,1.7,3.0
Armoni Brooks,https://www.basketball-reference.com/players/b/brookar01.html,"June 5, 1998",Houston,2021,2022,G,6-3,195,"April 9, 2021",2 years,74,6.9,2.3,1.2
Dillon Brooks,https://www.basketball-reference.com/players/b/brookdi01.html,"January 22, 1996",Oregon,2018,2023,F-G,6-7,225,"October 18, 2017",6 years,345,14.5,3.1,2.1
Kevin Brooks,https://www.basketball-reference.com/players/b/brookke01.html,"October 12, 1969",Louisiana,1992,1994,F,6-6,200,"November 2, 1991",3 years,126,3.3,1.1,0.4
MarShon Brooks,https://www.basketball-reference.com/players/b/brookma01.html,"January 26, 1989",Providence,2012,2019,G-F,6-5,200,"December 26, 2011",5 years,200,8.0,2.1,1.4
Michael Brooks,https://www.basketball-reference.com/players/b/brookmi01.html,"August 17, 1958",La Salle,1981,1988,F,6-7,220,"October 10, 1980",6 years,319,12.8,6.3,2.6
Scott Brooks,https://www.basketball-reference.com/players/b/brooksc01.html,"July 31, 1965",TCU,1989,1998,G,5-11,165,"November 4, 1988",10 years,680,4.9,1.0,2.4
Andre Brown,https://www.basketball-reference.com/players/b/brownan01.html,"May 12, 1981",DePaul,2007,2009,F,6-9,245,"January 5, 2007",3 years,75,2.6,2.4,0.1
Anthony Brown,https://www.basketball-reference.com/players/b/brownan02.html,"October 10, 1992",Stanford,2016,2018,F-G,6-7,210,"October 30, 2015",3 years,41,3.9,2.5,0.7
Bob Brown,https://www.basketball-reference.com/players/b/brownbo01.html,"November 12, 1923",Miami University,1949,1950,F,6-4,205,,2 years,82,10.1,-,1.4
Bobby Brown,https://www.basketball-reference.com/players/b/brownbo02.html,"September 24, 1984",Cal State Fullerton,2009,2018,G,6-2,175,"October 31, 2008",4 years,158,4.4,0.7,1.5
Bruce Brown,https://www.basketball-reference.com/players/b/brownbr01.html,"August 15, 1996",Miami (FL),2019,2023,G-F,6-4,202,"October 17, 2018",5 years,349,8.5,4.2,2.4
Charlie Brown Jr.,https://www.basketball-reference.com/players/b/brownch02.html,"February 2, 1997",Saint Joseph's,2020,2022,G,6-6,199,"November 6, 2019",3 years,41,2.2,1.3,0.4
Chaundee Brown Jr.,https://www.basketball-reference.com/players/b/brownch05.html,"December 4, 1998",Wake Forest,2022,2022,G-F,6-5,215,"December 17, 2021",1 year,5,6.2,3.2,0.8
Chucky Brown,https://www.basketball-reference.com/players/b/brownch01.html,"February 29, 1968",NC State,1990,2002,F,6-7,214,"November 3, 1989",13 years,694,5.9,3.1,0.8
Damone Brown,https://www.basketball-reference.com/players/b/brownda02.html,"June 28, 1979",Syracuse,2002,2005,F,6-9,200,"October 30, 2001",4 years,39,2.8,1.3,0.5
Darrel Brown,https://www.basketball-reference.com/players/b/brownda01.html,"March 14, 1923",Humboldt State University,1949,1949,F,6-2,175,,1 year,3,1.3,-,0.0
Dee Brown,https://www.basketball-reference.com/players/b/brownde01.html,"November 29, 1968",Jacksonville University,1991,2002,G,6-1,160,"November 2, 1990",12 years,608,11.1,2.6,3.7
Dee Brown,https://www.basketball-reference.com/players/b/brownde03.html,"August 17, 1984",Illinois,2007,2009,G,6-0,185,"November 4, 2006",2 years,68,2.1,1.0,1.8
Derrick Brown,https://www.basketball-reference.com/players/b/brownde04.html,"September 8, 1987",Xavier,2010,2012,F,6-7,225,"October 28, 2009",3 years,171,5.2,2.4,0.7
Devin Brown,https://www.basketball-reference.com/players/b/brownde02.html,"December 30, 1978",Texas-San Antonio,2003,2010,G,6-5,220,"November 4, 2002",8 years,465,7.2,2.8,1.5
Ernest Brown,https://www.basketball-reference.com/players/b/browner01.html,"May 17, 1979",Indian Hills Community College,2002,2002,C,7-0,244,"November 15, 2001",1 year,3,1.0,2.0,0.0
Fred Brown,https://www.basketball-reference.com/players/b/brownfr01.html,"August 7, 1948",Iowa,1972,1984,G,6-3,182,"October 12, 1971",13 years,963,14.6,2.7,3.3
George Brown,https://www.basketball-reference.com/players/b/brownge01.html,"October 30, 1935",Wayne State University,1958,1958,F,6-6,190,"October 30, 1957",1 year,1,1.0,1.0,0.0
Gerald Brown,https://www.basketball-reference.com/players/b/brownge02.html,"July 28, 1975",Pepperdine,1999,1999,G,6-4,210,"February 5, 1999",1 year,33,2.4,0.7,0.9
Greg Brown III,https://www.basketball-reference.com/players/b/browngr01.html,"September 1, 2001",Texas,2022,2023,F,6-9,205,"October 23, 2021",2 years,64,4.0,2.4,0.6
Harold Brown,https://www.basketball-reference.com/players/b/brownha01.html,"October 2, 1923",University of Evansville,1947,1947,G,6-0,155,,1 year,54,4.9,-,0.7
Jabari Brown,https://www.basketball-reference.com/players/b/brownja01.html,"December 18, 1992",Oregon,2015,2015,G,6-4,215,"March 12, 2015",1 year,19,11.9,1.9,2.1
Jaylen Brown,https://www.basketball-reference.com/players/b/brownja02.html,"October 24, 1996",California,2017,2023,F-G,6-6,223,"October 26, 2016",7 years,470,17.9,5.2,2.2
John Brown,https://www.basketball-reference.com/players/b/brownjo01.html,"December 14, 1951",Missouri,1974,1980,F,6-7,220,"October 9, 1973",7 years,486,7.4,4.4,1.4
Kedrick Brown,https://www.basketball-reference.com/players/b/brownke01.html,"March 18, 1981",Okaloosa-Walton Community College,2002,2005,G,6-7,222,"October 30, 2001",4 years,143,3.6,2.4,0.7
Kendall Brown,https://www.basketball-reference.com/players/b/brownke03.html,"May 11, 2003",Baylor,2023,2023,G-F,6-8,205,"November 23, 2022",1 year,6,1.5,1.0,0.5
Kwame Brown,https://www.basketball-reference.com/players/b/brownkw01.html,"March 10, 1982",None,2002,2013,F,6-11,270,"October 30, 2001",12 years,607,6.6,5.5,0.9
Larry Brown,https://www.basketball-reference.com/players/b/brownla01.html,"September 14, 1940",UNC,1968,1972,G,5-9,160,,5 years,376,11.2,2.7,6.7
Leon Brown,https://www.basketball-reference.com/players/b/brownle01.html,"October 12, 1919",Wyoming,1947,1947,F,6-3,190,,1 year,5,0.0,-,0.0
Lewis Brown,https://www.basketball-reference.com/players/b/brownle02.html,"February 19, 1955",UNLV,1981,1981,C,6-11,225,"January 15, 1981",1 year,2,1.0,1.0,0.0
Lorenzo Brown,https://www.basketball-reference.com/players/b/brownlo01.html,"August 26, 1990",NC State,2014,2019,G,6-5,189,"November 20, 2013",5 years,103,2.8,1.5,1.8
Marcus Brown,https://www.basketball-reference.com/players/b/brownma01.html,"April 3, 1974",Murray State,1997,2000,G,6-3,185,"December 29, 1996",2 years,27,3.4,0.8,0.9
Markel Brown,https://www.basketball-reference.com/players/b/brownma02.html,"January 29, 1992",Oklahoma State,2015,2018,G,6-3,190,"November 22, 2014",3 years,113,5.2,2.1,1.2
Mike Brown,https://www.basketball-reference.com/players/b/brownmi01.html,"July 19, 1963",George Washington,1987,1997,C-F,6-9,257,"November 1, 1986",12 years,626,5.0,4.4,0.7
Moses Brown,https://www.basketball-reference.com/players/b/brownmo01.html,"October 13, 1999",UCLA,2020,2023,C,7-2,245,"November 10, 2019",4 years,128,5.5,5.2,0.1
Myron Brown,https://www.basketball-reference.com/players/b/brownmy01.html,"November 3, 1969",Slippery Rock University of Pennsylvania,1992,1992,G,6-3,180,"November 17, 1991",1 year,4,2.3,0.8,1.5
P.J. Brown,https://www.basketball-reference.com/players/b/brownpj01.html,"October 14, 1969",Louisiana Tech,1994,2008,F-C,6-11,225,"November 5, 1993",15 years,1089,9.1,7.7,1.5
Randy Brown,https://www.basketball-reference.com/players/b/brownra02.html,"May 22, 1968",Houston,1992,2003,G,6-2,190,"November 1, 1991",12 years,655,4.8,1.8,2.2
Raymond Brown,https://www.basketball-reference.com/players/b/brownra01.html,"July 5, 1965",Mississippi State,1990,1990,F,6-8,220,"February 19, 1990",1 year,16,1.0,0.9,0.3
Rickey Brown,https://www.basketball-reference.com/players/b/brownri01.html,"August 20, 1958",Mississippi State,1981,1985,C-F,6-10,215,"October 10, 1980",5 years,340,4.4,3.5,0.4
Roger Brown,https://www.basketball-reference.com/players/b/brownro01.html,"May 22, 1942",Dayton,1968,1975,F-G,6-5,205,,8 years,605,17.4,6.2,3.8
Roger Brown,https://www.basketball-reference.com/players/b/brownro02.html,"February 23, 1950",Kansas,1973,1980,C,6-11,225,"October 11, 1972",5 years,239,2.4,3.5,0.5
Shannon Brown,https://www.basketball-reference.com/players/b/brownsh01.html,"November 29, 1985",Michigan State,2007,2015,G,6-4,205,"November 7, 2006",9 years,408,7.6,1.9,1.1
Stan Brown,https://www.basketball-reference.com/players/b/brownst01.html,"June 27, 1929",None,1948,1952,F,6-3,200,,2 years,34,3.1,1.1,0.3
Sterling Brown,https://www.basketball-reference.com/players/b/brownst02.html,"February 10, 1995",SMU,2018,2023,G,6-5,219,"October 20, 2017",6 years,268,5.3,3.3,1.0
Tierre Brown,https://www.basketball-reference.com/players/b/brownti01.html,"June 3, 1979",McNeese State University,2002,2005,G,6-2,189,"November 9, 2001",4 years,134,3.9,1.2,2.0
Tony Brown,https://www.basketball-reference.com/players/b/brownto01.html,"July 29, 1960",Arkansas,1985,1992,F-G,6-6,185,"October 27, 1984",7 years,360,6.0,2.1,1.6
Troy Brown Jr.,https://www.basketball-reference.com/players/b/browntr01.html,"July 28, 1999",Oregon,2019,2023,G-F,6-6,215,"October 24, 2018",5 years,297,6.6,3.9,1.5
Jim Browne,https://www.basketball-reference.com/players/b/brownji01.html,"January 1, 1930",None,1949,1950,C,6-10,235,,2 years,35,1.4,-,0.2
Stanley Brundy,https://www.basketball-reference.com/players/b/brundst01.html,"November 13, 1967",DePaul,1990,1990,F,6-6,210,"November 3, 1989",1 year,16,2.3,1.6,0.2
Brian Brunkhorst,https://www.basketball-reference.com/players/b/brunkbr01.html,"June 12, 1945",Marquette,1969,1969,F,6-6,208,,1 year,3,8.3,4.3,1.0
George Bruns,https://www.basketball-reference.com/players/b/brunsge01.html,"August 30, 1946",Manhattan College,1973,1973,G,6-0,160,,1 year,13,6.6,0.6,2.8
Jalen Brunson,https://www.basketball-reference.com/players/b/brunsja01.html,"August 31, 1996",Villanova,2019,2023,G,6-2,190,"October 17, 2018",5 years,345,14.3,3.1,4.2
Rick Brunson,https://www.basketball-reference.com/players/b/brunsri01.html,"June 14, 1972",Temple,1998,2006,G,6-4,190,"December 2, 1997",9 years,337,3.2,1.3,2.6
Nicolás Brussino,https://www.basketball-reference.com/players/b/brussni01.html,"March 2, 1993",None,2017,2018,G-F,6-7,195,"October 26, 2016",2 years,58,2.6,1.7,0.8
Elijah Bryant,https://www.basketball-reference.com/players/b/bryanel01.html,"April 19, 1995",Elon University,2021,2021,G,6-5,210,"May 16, 2021",1 year,1,16.0,6.0,3.0
Em Bryant,https://www.basketball-reference.com/players/b/bryanem01.html,"November 4, 1938",DePaul,1965,1972,G,6-1,175,"October 17, 1964",8 years,566,6.6,2.8,3.0
Joe Bryant,https://www.basketball-reference.com/players/b/bryanjo01.html,"October 19, 1954",La Salle,1976,1983,F-C,6-9,185,"October 24, 1975",8 years,606,8.7,4.0,1.7
Kobe Bryant,https://www.basketball-reference.com/players/b/bryanko01.html,"August 23, 1978",None,1997,2016,G-F,6-6,212,"November 3, 1996",20 years,1346,25.0,5.2,4.7
Mark Bryant,https://www.basketball-reference.com/players/b/bryanma01.html,"April 25, 1965",Seton Hall,1989,2003,F-C,6-9,245,"November 4, 1988",15 years,797,5.4,3.8,0.6
Thomas Bryant,https://www.basketball-reference.com/players/b/bryanth01.html,"July 31, 1997",Indiana,2018,2023,C,6-10,248,"December 23, 2017",6 years,229,10.1,5.7,1.1
Wallace Bryant,https://www.basketball-reference.com/players/b/bryanwa01.html,"July 14, 1959",San Francisco,1984,1986,C,7-0,245,"November 23, 1983",3 years,102,3.2,3.7,1.1
Torgeir Bryn,https://www.basketball-reference.com/players/b/brynto01.html,"August 8, 1964",Texas State University,1990,1990,C,6-9,250,"November 3, 1989",1 year,3,1.3,0.7,0.0
George Bucci,https://www.basketball-reference.com/players/b/buccige01.html,"July 9, 1953",Manhattan College,1976,1976,G,6-3,200,,1 year,33,3.9,1.1,0.5
Shaq Buchanan,https://www.basketball-reference.com/players/b/buchash01.html,"January 30, 1997",Northeast Mississippi Community College,2022,2022,G,6-3,190,"December 26, 2021",1 year,2,1.0,1.0,1.0
Joe Buckhalter,https://www.basketball-reference.com/players/b/buckhjo01.html,"August 1, 1937",Tennessee State,1962,1963,F,6-7,210,"October 21, 1961",2 years,65,5.8,4.1,0.7
Steve Bucknall,https://www.basketball-reference.com/players/b/bucknst01.html,"March 17, 1966",UNC,1990,1990,G,6-6,215,"November 7, 1989",1 year,18,1.3,0.4,0.6
Cleveland Buckner,https://www.basketball-reference.com/players/b/buckncl01.html,"August 17, 1938",Jackson State University,1962,1963,F-C,6-9,210,"October 19, 1961",2 years,68,6.0,3.5,0.6
Greg Buckner,https://www.basketball-reference.com/players/b/buckngr01.html,"September 16, 1976",Clemson,2000,2009,G,6-4,210,"January 6, 2000",10 years,570,5.0,2.8,1.3
Quinn Buckner,https://www.basketball-reference.com/players/b/bucknqu01.html,"August 20, 1954",Indiana,1977,1986,G,6-3,190,"October 21, 1976",10 years,719,8.2,2.7,4.3
Dave Budd,https://www.basketball-reference.com/players/b/buddda01.html,"October 28, 1938",Wake Forest,1961,1965,F,6-6,205,"October 22, 1960",5 years,353,7.1,4.6,1.0
Chase Budinger,https://www.basketball-reference.com/players/b/budinch01.html,"May 22, 1988",Arizona,2010,2016,F,6-7,209,"October 27, 2009",7 years,407,7.9,3.0,1.2
Walt Budko,https://www.basketball-reference.com/players/b/budkowa01.html,"July 30, 1925",Columbia University,1949,1952,F-C,6-5,220,"November 4, 1948",4 years,253,8.1,5.4,1.9
Jud Buechler,https://www.basketball-reference.com/players/b/buechju01.html,"June 19, 1968",Arizona,1991,2002,F-G,6-6,220,"November 2, 1990",12 years,720,3.3,1.8,0.8
Rodney Buford,https://www.basketball-reference.com/players/b/buforro01.html,"November 2, 1977",Creighton,2000,2005,G-F,6-5,189,"November 2, 1999",5 years,230,6.4,2.6,0.8
Matt Bullard,https://www.basketball-reference.com/players/b/bullama01.html,"June 5, 1967",Colorado,1991,2002,F,6-10,215,"January 5, 1991",11 years,615,5.3,2.0,0.9
Reggie Bullock,https://www.basketball-reference.com/players/b/bullore01.html,"March 16, 1991",UNC,2014,2023,G-F,6-6,205,"October 29, 2013",10 years,512,7.7,2.7,1.2
Larry Bunce,https://www.basketball-reference.com/players/b/buncela01.html,"July 29, 1945",Texas-El Paso,1968,1969,C,7-0,240,,2 years,129,8.9,6.4,0.7
Greg Bunch,https://www.basketball-reference.com/players/b/bunchgr01.html,"May 15, 1956",Cal State Fullerton,1979,1979,F,6-6,190,"October 13, 1978",1 year,12,2.3,1.4,0.3
Dick Bunt,https://www.basketball-reference.com/players/b/buntdi01.html,"July 13, 1930",NYU,1953,1953,G,6-0,170,"November 1, 1952",1 year,26,3.5,1.1,0.7
Bill Buntin,https://www.basketball-reference.com/players/b/buntibi01.html,"May 5, 1942",Michigan,1966,1966,C-F,6-7,250,"October 16, 1965",1 year,42,7.7,6.0,0.9
Bill Bunting,https://www.basketball-reference.com/players/b/buntibi02.html,"August 26, 1947",UNC,1970,1972,F-C,6-8,200,,3 years,145,4.3,2.9,0.7
Ticky Burden,https://www.basketball-reference.com/players/b/burdeti01.html,"February 28, 1953",Utah,1976,1978,G,6-2,185,"October 21, 1976",3 years,134,13.1,2.0,1.4
Pat Burke,https://www.basketball-reference.com/players/b/burkepa01.html,"December 14, 1973",Auburn,2003,2007,C-F,6-11,250,"October 29, 2002",3 years,127,3.7,2.1,0.3
Trey Burke,https://www.basketball-reference.com/players/b/burketr01.html,"November 12, 1992",Michigan,2014,2022,G,6-0,185,"November 20, 2013",9 years,498,9.6,1.8,3.1
Roger Burkman,https://www.basketball-reference.com/players/b/burkmro01.html,"May 22, 1958",Louisville,1982,1982,G,6-5,175,"October 30, 1981",1 year,6,0.8,1.0,0.8
Alec Burks,https://www.basketball-reference.com/players/b/burksal01.html,"July 20, 1991",Colorado,2012,2023,G,6-6,214,"December 27, 2011",12 years,676,10.8,3.5,2.0
Antonio Burks,https://www.basketball-reference.com/players/b/burksan01.html,"February 25, 1980",Memphis,2005,2006,G,6-1,200,"December 7, 2004",2 years,81,2.3,0.6,1.3
Kevin Burleson,https://www.basketball-reference.com/players/b/burleke01.html,"September 4, 1979",Minnesota,2006,2006,G,6-3,205,"November 11, 2005",1 year,39,1.8,0.7,1.2
Tom Burleson,https://www.basketball-reference.com/players/b/burleto01.html,"February 24, 1952",NC State,1975,1981,C,7-2,225,"October 17, 1974",7 years,446,9.4,6.3,1.3
Jack Burmaster,https://www.basketball-reference.com/players/b/burmaja01.html,"December 23, 1926",Illinois,1950,1950,G,6-3,190,"November 1, 1949",1 year,61,9.8,-,2.9
David Burns,https://www.basketball-reference.com/players/b/burnsda01.html,"July 3, 1958",Saint Louis,1982,1982,G,6-2,180,"November 4, 1981",1 year,9,2.6,0.6,1.7
Evers Burns,https://www.basketball-reference.com/players/b/burnsev01.html,"August 24, 1971",Maryland,1994,1994,F,6-8,260,"November 24, 1993",1 year,23,2.4,1.3,0.4
Jim Burns,https://www.basketball-reference.com/players/b/burnsji01.html,"September 21, 1945",Northwestern,1968,1968,G,6-3,195,"October 14, 1967",1 year,36,4.4,1.7,0.7
Scott Burrell,https://www.basketball-reference.com/players/b/burresc01.html,"January 12, 1971",UConn,1994,2001,G-F,6-7,218,"November 23, 1993",8 years,383,6.9,3.5,1.4
Art Burris,https://www.basketball-reference.com/players/b/burriar01.html,"April 7, 1924",Tennessee,1951,1952,F,6-5,220,"November 1, 1950",2 years,74,2.5,2.8,0.7
Junior Burrough,https://www.basketball-reference.com/players/b/burroju01.html,"January 18, 1973",Virginia,1996,1996,F,6-8,242,"November 3, 1995",1 year,61,3.1,1.8,0.2
Bob Burrow,https://www.basketball-reference.com/players/b/burrobo01.html,"June 29, 1934",Kentucky,1957,1958,C-F,6-7,228,"October 27, 1956",2 years,81,5.7,4.4,0.6
Deonte Burton,https://www.basketball-reference.com/players/b/burtode02.html,"January 31, 1994",Marquette,2019,2023,G,6-4,240,"October 19, 2018",3 years,73,2.5,1.2,0.4
Ed Burton,https://www.basketball-reference.com/players/b/burtoed01.html,"August 13, 1939",Michigan State,1962,1965,F,6-6,225,"October 19, 1961",2 years,15,2.2,1.2,0.2
Willie Burton,https://www.basketball-reference.com/players/b/burtowi01.html,"May 26, 1968",Minnesota,1991,1999,F-G,6-8,210,"November 2, 1990",8 years,316,10.3,2.9,1.2
Steve Burtt,https://www.basketball-reference.com/players/b/burttst01.html,"November 5, 1962",Iona College,1985,1993,G,6-2,185,"October 26, 1984",4 years,101,5.8,0.9,1.2
Don Buse,https://www.basketball-reference.com/players/b/busedo01.html,"August 10, 1950",University of Evansville,1973,1985,G,6-4,190,"October 21, 1976",13 years,966,7.1,2.7,4.6
David Bustion,https://www.basketball-reference.com/players/b/bustida01.html,"August 30, 1949",Northeastern Junior College,1973,1973,F,6-8,215,,1 year,47,3.4,2.1,0.4
Donnie Butcher,https://www.basketball-reference.com/players/b/butchdo01.html,"February 8, 1936",Pikeville College,1962,1966,G,6-2,200,"December 1, 1961",5 years,279,6.1,2.9,2.1
